,Sentences
139,"SARS-CoV-2 is spreading rapidly, causing severe COVID-19 symptoms and life-threatening diseases in some infected patients 6 "
140,"Numbers of infected cases reached over 60,000 in less than 3 months 7 .

The prominent sequence differences between the crucial RBMs of SARS-CoV-2 and SARS-CoV raise a critical question of whether the binding affinity of SARS-CoV-2 spike protein to human ACE2 is comparable to that of SARS-CoV"
141,"A recent study by computational modeling suggested that SARS-CoV-2 has a lower binding affinity to human ACE2, as a result of the loss of one hydrogen bond interactions 18 "
142,"9 measured the SARS-CoV-2 RBD's binding affinity to human ACE2 protein to be 15.2 nM, which is comparable to previously published affinity data for SARS-CoV spike protein 19 "
143,"The above comparison of spike proteins' binding affinities to human ACE2 between SARS-CoV-2 and SARS-CoV were inconclusive or indirect, hence, a direct head-to-head comparison is desired for the understanding of the infectivity and transmissibility of SARS-CoV-2 virus.

Neutralizing antibody (nAb) is expected to be one of the most promising treatments against coronavirus infection among the existing therapeutic options 20, 21 "
144,"However, coronavirus is a single-stranded RNA virus prone to rapid mutations during transmission, nAbs without cross-reactivity to a broad spectrum of viral mutants could lead to treatment failure 10, [27] [28] [29] , therefore, highly potent and cross-protective nAbs and prophylactic vaccines against SARS-CoV-2 are in urgent needs.

with ACE2 by computational modeling and binding free energy analysis"
145,"The above studies confirm that both SARS-CoV-2 and SARS-CoV have similar binding affinities to the human receptor ACE2.

Due to the relatively low homology of the spike RBDs between SARS-CoV-2 and SARS-CoV, it is of significant interest to investigate whether SARS-CoV neutralizing antibodies possess cross-reactivity to SARS-CoV-2"
146,"SARS-CoV polyclonal antibodies and ACE2 blocking and non-blocking nAbs were tested with SARS-CoV-2 pseudovirus (PSV) for cross neutralizing activities.

The structure model for SARS-CoVRBD-ACE2 complex was optimized based on the complex's crystal structure (PDB ID: 2AJF) (http://www.rcsb.org/)"
147,"The structure model for SARS-CoV-2 RBD-ACE2 complex was constructed by homology modeling using the optimized SARS-CoV RBD-ACE2 complex crystal structure as a template, based on a 73.7% amino acid sequence homology between the two viruses"
148,"There are subtle differences in the RBD-ACE2 interfaces between SARS-CoV-2 and SARS-CoV at the loop 469-470 (numbered according to SARS-CoV RBD), arising from a one-residue insertion after residue 469 ( Figure 1A) .

On the other hand, the interaction patterns in both complex structures' interfaces are somewhat different ( Figure 1A and Table S2 )"
149,Four residues in SARS-CoV-2 RBD (i.e
150,"R426, D463, Y484, and T487), four replacing residues in SARS-CoV-2 RBD (i.e"
151,"It is noteworthy that although a strong salt-bridge presented between R426 of SARS-CoV RBD and E329 of ACE2, is missing in the interaction involving SARS-CoV-2 RBD"
152,"However, a new strong salt-bridge interaction between E484 of SARS-CoV-2 RBD and K31 of ACE2 compensates for that loss.

The RBD-ACE2 binding free energies of SARS-CoV and SARS-CoV-2 are estimated to be -40.42 and -44.96 REU (Rosetta energy unit), respectively (Table S1), by Rosetta Interface Analyzer 30 "
153,The insignificant difference in binding free energies suggests that SARS-CoV-2 and SARS-CoV viruses have similar binding affinities to human ACE2
154,"https://doi.org/10.1101/2020.02.16.951723 doi: bioRxiv preprint Recombinant S1 protein of SARS-CoV-2 showed similar binding to human ACE2 in both protein and cellular forms, as compared with SARS-CoV

The RBD containing S1 protein, resulted from cleavage of the spike protein on the virus membrane is responsible for the binding of the virus to human receptor on cell membrane, which is important for viral infectivity 31 "
155,Binding curves of recombinant S1 proteins of SARS-CoV-2 and SARS-CoV to human ACE2 were measured by ELISA
156,"The above experimental results are consistent with our structure modeling analysis, which indicates that SARS-CoV-2 virus likely infects human cells through similar mechanisms as SARS-CoV virus by binding to human ACE2 with comparable affinities, and hence may possess similar transmissibility.

A"
157,"Serial diluted recombinant S1 proteins of SARS-CoV-2, SARS-CoV and MERS-CoV were coated on 96 well plates, incubated with the recombinant Fc-tagged ACE2 (ACE2-Fc) for binding evaluation.

B"
158,"Recombinant S1 proteins of SARS-CoV-2 and SARS-CoV were incubated with 293T-ACE2 cells and subjected to FACS evaluation for binding.

author/funder"
159,SARS-CoV-2 and SARS-CoV are two different coronaviruses with modest level of sequence homology in their spike proteins
160,"Understanding whether antibodies raised from SARS-CoV spike protein immunization have cross-reactivity to the new SARS-CoV-2 will offer important insights and guidance to therapeutic antibody and prophylactic vaccine development.

SARS-CoV nAbs were generated by immunizing mouse or rabbit with SARS-CoV S1 or RBD protein"
161,Two SARS-CoV S-protein rabbit polyclonal antibodies (Table 1 ) and four monoclonal antibodies ( Table 2 ) were analyzed for cross-reactivity to SARS-CoV-2 S1 protein and cross-neutralizing activities to SARS-CoV-2 PSV
162,"As expected, the polyclonal antibodies showed weaker binding to SARS-CoV-2 S1 protein (EC 50 >100ng/mL) as compared to SARS-CoV S1 protein (EC 50 <25ng/mL)"
163,"Neutralizing activities against SARS-CoV-2 PSV were lower by more than two-orders of magnitudes than SARS-CoV PSV (Table 1) , presenting a pessimistic forecast for the probability to identify highly potent and cross-reactive nAbs to SARS-CoV-2 from SARS-CoV antibodies or antibody libraries.

SARS-CoV monoclonal nAbs with strong S1 binding (EC 50 <50ng/mL, K D ≤2.0E-10 M) and potent ACE2-blocking activities exhibited potent neutralizing activities against SARS-CoV (minimum dose to reach 100% neutralization at ~0.1μg/mL), but almost no cross-binding to SARS-CoV-2 S1 protein (EC 50 >15μg/mL) and no cross-neutralizing activities against SARS-CoV-2 PSV (<50% neutralizing activity at 100μg/mL) (Figure3, Table 2, Figure S1 & S2).

Interestingly, three ACE2-non-blocking monoclonal antibodies showed modest binding activities to SARS-CoV S1 protein (EC 50 >100ng/mL) and neutralizing activities to the SARS-CoV PSV (minimum dose to reach 100% neutralization at ≥ 10 μg/mL)"
164,"Although, these nAbs were less potent than the ACE2-blocking nAbs to SARS-CoV, but could evidently cross-bind to the SARS-CoV-2 S1 protein (EC 50 <3μg/mL) and cross-neutralize SARS-CoV-2 PSV (>50% neutralizing activity at 100μg/mL) ( Table 2) "
165,Binding of SARS nAbs to SARS-CoV-2 S1 protein were tested by ELSIA
166,"Recombinant S1 protein of SARS-CoV-2 were coated on plates, serial diluted nAbs were added for binding to recombinant S1 protein"
